Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
28447,8.6,358,16,21,22,6,0,1,0,23,6,-2562,0
31009,9.0,416,22,15,16,5,1,1,1,16,2,2562,1
19930,8.4,365,3,3,10,0,0,0,0,14,2,-9094,0
29024,9.2,469,10,13,3,10,2,2,1,17,6,9094,1
27395,9.0,415,13,11,6,5,1,2,1,20,6,5973,1
21422,8.2,378,6,6,13,2,0,0,0,17,3,-5973,0
25445,8.6,373,11,12,15,3,0,0,1,18,4,-2143,0
27588,8.8,382,15,27,11,6,1,1,0,20,2,2143,1
28103,9.2,403,17,14,11,4,1,2,1,12,5,1756,1
26347,9.0,437,11,6,17,4,0,0,0,19,2,-1756,0
24201,8.8,371,10,8,10,2,0,1,0,17,9,-2027,0
26228,9.2,427,10,8,10,2,0,0,1,17,3,2027,1
26425,8.8,429,10,10,7,5,1,0,0,20,1,4178,1
22247,8.6,396,7,5,10,1,0,0,0,19,3,-4178,0
23054,7.6,293,8,10,24,4,0,0,0,21,5,-10878,0
33932,9.6,496,24,13,8,5,3,1,1,21,5,10878,1
29796,9.4,463,18,18,9,7,1,1,0,16,2,5102,0
24694,8.6,378,9,6,18,5,1,0,1,15,5,-5102,1
27475,9.2,431,11,11,7,9,1,0,1,15,2,4194,1
23281,8.6,390,7,8,11,1,0,1,0,16,1,-4194,0
28391,9.0,402,14,18,11,6,1,0,1,19,3,3546,0
24845,8.8,390,11,16,14,2,0,1,0,14,3,-3546,1
27623,8.8,404,14,13,10,4,1,1,0,15,3,1123,1
26500,9.0,389,10,10,14,4,1,0,1,19,3,-1123,0
26918,8.8,379,13,17,6,8,1,2,1,17,5,2404,1
24514,8.6,411,6,7,13,7,0,0,0,17,3,-2404,0
30951,9.0,438,9,16,4,15,8,1,1,17,5,11480,1
19471,7.4,356,4,0,9,2,0,0,0,12,3,-11480,0
25122,8.8,333,15,11,11,4,0,2,1,22,3,1563,1
23559,8.6,375,11,9,15,1,0,0,0,19,2,-1563,0
31713,8.4,387,23,16,21,5,1,1,0,15,1,2116,1
29597,8.6,336,21,25,23,4,0,1,1,21,3,-2116,0
24179,8.8,409,7,7,15,5,0,0,0,17,5,-5756,0
29935,9.2,437,15,17,7,8,1,2,1,25,1,5756,1
25353,8.6,387,11,14,18,4,0,1,0,22,3,-3428,0
28781,9.0,419,18,18,11,5,1,1,1,16,4,3428,1
23218,8.6,415,8,2,15,1,0,0,0,20,4,-2405,0
25623,9.0,389,15,12,8,2,0,1,1,16,2,2405,1
25165,9.2,495,7,5,7,2,0,2,1,18,6,1518,1
23647,8.8,418,7,6,7,4,0,0,0,20,6,-1518,0
27633,9.0,480,9,13,13,5,1,1,0,23,3,-815,0
28448,9.2,428,13,15,9,7,1,1,1,21,4,815,1
28506,8.6,397,15,20,10,3,1,2,1,15,5,3990,1
24516,8.8,411,10,5,15,3,0,0,0,13,3,-3990,0
25916,8.2,346,12,16,11,2,1,0,0,18,2,-1541,0
27457,9.0,440,11,14,12,9,0,1,1,13,3,1541,1
25705,8.8,369,14,17,16,3,0,0,0,15,5,-4085,0
29790,9.2,422,16,14,14,5,1,2,1,23,4,4085,1
24891,8.8,449,9,12,7,1,0,2,1,17,5,-826,1
